Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTH TYNESIDE,1041116470,45816.82,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,KNOWSLEY MBC,1041116471,43750,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,COVENTRY CITY COUNCIL,1041116472,445709.37,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BIRMINGHAM CITY COUNCIL,1041116473,1435257.83,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ROTHERHAM MBC,1041116508,115209.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,10/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF CAMDEN,1041116591,86294,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,10/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PAUSE CREATING SPACE FOR CHANGE,1041116661,112481.73,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DAYBREAK FAMILY GROUP CONFERENCES,1041117155,53240,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,CARDIFF UNIVERSITY,1041117194,349093.72,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,CARDIFF UNIVERSITY,1041117194,271593.95,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,CARDIFF UNIVERSITY,1041117194,298970.81,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,FAMILY RIGHTS GROUP LTD,1041117214,58313,Grants to educational establishments or not for profit organisations including other businesses
