Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,13/05/2022,IS/IT,Data,Bramble Hub Limited,CORE-PINV-037304,"96,954.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,17/05/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-037310,"31,920.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,17/05/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-037313,"73,411.20 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,13/05/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-037465,"74,964.68 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,13/05/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-037462,"29,271.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,18/05/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-037648,"48,168.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,11/05/2022,IS/IT,Data,HIVE IT LIMITED,CORE-PINV-037244,"60,408.00 ",Systems Operations,,,,,,,,,
Department for Education,Core,31/05/2022,IS/IT,Data,RM EDUCATION PLC,CORE-PINV-038248,"463,164.00 ",Systems Operations,,,,,,,,,
Department for Education,Core,09/05/2022,IS/IT,Data,CADENCE INNOVA,CORE-PINV-037112,"76,511.25 ",Systems Operations,,,,,,,,,
Department for Education,Core,09/05/2022,Learning & Development,Capital Directorate,CALDER CONFERENCES EM LTD,EPCS000504,215.04 ,Training costs,,,,,,,,,
Department for Education,Core,09/05/2022,Learning & Development,Capital Directorate,CALDER CONFERENCES EM LTD,EPCS000504,"1,530.88 ",Training costs,,,,,,,,,
Department for Education,Core,09/05/2022,Learning & Development,Capital Directorate,CALDER CONFERENCES EM LTD,EPCS000504,"5,686.50 ",Training costs,,,,,,,,,
Department for Education,Core,03/05/2022,Grants Expenditure,Capital Directorate,Kensington Aldridge Academy,DU00066609,"27,547.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,Core,24/05/2022,Grants Expenditure,Capital Directorate,Portakabin Ltd,D-PINV045315,"166,226.58 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,Core,30/05/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV045917,"53,022.00 ",Professional Services,,,,,,,,,
Department for Education,Core,30/05/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV045916,"38,328.00 ",Professional Services,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,CL044575,"793,783.87 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BATH & NORTH EAST SOMERSET COUNCIL,CL044576,"110,337.68 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BEDFORD BOROUGH COUNCIL,CL044577,"864,381.63 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BIRMINGHAM CITY COUNCIL,CL044578,"2,762,751.01 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Blackburn with Darwen Borough Council,CL044579,"132,321.48 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BRADFORD CITY COUNCIL,CL044580,"38,189.25 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BRENT LONDON BOROUGH COUNCIL,CL044581,"1,187,126.81 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,BRISTOL CITY COUNCIL,CL044582,"1,412,573.62 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Buckinghamshire Council,CL044583,"849,789.35 ",Capital grants - Local Government,,,,,,,,,
