Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,SOMERSET COUNTY COUNCIL,CUPS0038853,"42,500.06",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,Success Academy Trust,CUPS0039063,"72,689.79",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,SUFFOLK COUNTY COUNCIL,CUPS0038847,"28,256.02",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,The Diocese of Norwich Education & Academies Trust,CUPS0038843,"28,852.45",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,The First Federation Trust,CUPS0039939,"32,063.72",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,The Forge Trust,CUPS0038839,"28,776.31",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,The Ted Wragg Multi Academy Trust,CUPS0038867,"32,513.28",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,WADE DEACON HIGH SCHOOL,CUPS0038846,"126,098.00",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Watlington Primary School,CUPS0039959,"30,095.46",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,15/02/2022,Other Goods & Services,Digital and Technology,United Church Schools Trust,CORE-PINV-032564,"151,099.87",Professional Services,,,,,,,,,
Department for Education,Core,10/02/2022,Other Goods & Services,Digital and Technology,ENGINE GROUP LTD,CORE-PINV-032226,"86,732.80",Professional Services,,,,,,,,,
Department for Education,Core,18/02/2022,Other Goods & Services,Digital and Technology,Nexer Digital Ltd,CORE-PINV-032736,"28,860.00",Professional Services,,,,,,,,,
Department for Education,Core,22/02/2022,Other Goods & Services,Digital and Technology,WE ARE SNOOK LTD,CORE-PINV-032940,"28,800.00",Professional Services,,,,,,,,,
Department for Education,Core,08/02/2022,Other Goods & Services,Digital and Technology,ENGINE GROUP LTD,CORE-PINV-032211,"34,680.00",Professional Services,,,,,,,,,
Department for Education,Core,08/02/2022,Other Goods & Services,Digital and Technology,NASEN,CORE-PINV-032203,"42,733.20",Professional Services,,,,,,,,,
Department for Education,Core,03/02/2022,Staff - Temporary Staff,Digital and Technology,Actica Consulting Ltd,CORE-PINV-031854,"25,440.00",Short term & agency staff,,,,,,,,,
Department for Education,Core,22/02/2022,Staff - Temporary Staff,Digital and Technology,Actica Consulting Ltd,CORE-PINV-032897,"39,840.00",Short term & agency staff,,,,,,,,,
Department for Education,Core,03/02/2022,IS/IT,Digital and Technology,Actisoft Technology Limited,CORE-PINV-031978,"55,843.46",End User Software & Hardware,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,Bytes Software Services Ltd,CORE-PINV-031988,"153,806.42",End User Software & Hardware,,,,,,,,,
