Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,COURT FIELDS SCHOOL,DU00099036,"205,497.58",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Archdiocese of Liverpool,DU00099038,"57,822.28",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Sefton Metropolitan Borough Council,DU00099039,"44,126.67",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,The Liverpool Joint Catholic CofE Academies Trust,DU00099040,"37,907.66",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Archdiocese of Liverpool,DU00099042,"-227,361.86",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099054,"77,216.65",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,BLACKPOOL BOROUGH COUNCIL,DU00099056,"40,753.66",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099057,"52,667.18",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,ESSEX COUNTY COUNCIL,DU00099060,"28,919.96",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Archdiocese of Liverpool,DU00099061,"42,616.99",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Diocese of Lancaster,DU00099064,"37,443.85",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,DU00099066,"46,506.08",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Stanley Learning Partnership,DU00099074,"32,498.69",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Delta Academies Trust,DU00099075,"313,168.28",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,DU00099078,"40,676.89",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,The Blue Coat School,DU00099082,"35,085.11",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099083,"40,921.08",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099084,"60,950.04",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099085,"52,478.64",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099086,"50,599.28",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099087,"73,902.94",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Branton St Wilfrid's CE Primary School,DU00099091,"33,437.80",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Dixons Academies Trust,DU00099093,"122,849.00",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,Dixons Academies Trust,DU00099094,"80,946.00",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,North East Learning Trust,DU00099099,"26,275.08",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099102,"49,959.32",Capital grants - Academy Trust
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099103,"32,540.60",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Hawthorn Primary,DU00099150,"53,574.28",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,LIVERPOOL CITY COUNCIL,DU00099152,"54,634.72",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,The Python Hill Academy,DU00099153,"47,734.61",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Southfield Primary,DU00099154,"62,018.31",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099156,"46,496.36",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DURHAM COUNTY COUNCIL,DU00099157,"123,113.60",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Transform Trust,DU00099163,"77,117.08",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Orwell Multi Academy Trust,DU00099167,"29,721.98",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,PLYMOUTH CITY COUNCIL,DU00099168,"39,785.55",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099169,"44,202.68",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,University of Chichester (Multi) Academy Trust,DU00099170,"34,498.04",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,THE THINKING SCHOOLS ACADEMY TRUST,DU00099178,"99,642.69",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,New College Durham Academies Trust,DU00099181,"133,132.54",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Armthorpe Shaw Wood Academy ,DU00099184,"69,774.00",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099186,"31,442.60",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099189,"68,172.66",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099192,"51,758.86",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Salford City Council,DU00099193,"80,926.37",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099194,"41,778.28",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,St Francis Catholic Multi Academy Trust,DU00099195,"25,331.15",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Flying High Trust,DU00099198,"54,271.87",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099207,"36,478.21",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Exceed Learning Partnership,DU00099208,"60,650.33",Capital grants - Academy Trust
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,KENT COUNTY COUNCIL,DU00099215,"39,509.03",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,Archdiocese of Liverpool,DU00099222,"124,510.40",Capital grants - Local Government
Department for Education,Core,24/02/2023,Grants Expenditure,Capital Directorate,The Ted Wragg Multi Academy Trust,DU00099223,"82,139.95",Capital grants - Academy Trust
Department for Education,Core,09/02/2023,Other Goods & Services,Capital Directorate,COGNIZANT WORLDWIDE LIMITED,D-PINV052202,"46,544.40",Professional Services
