Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,BRACKNELL FOREST BOROUGH COUNCIL,CORE-MAIN-014599,42116.73,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,Salford City Council,CORE-MAIN-014600,57964.15,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SOMERSET COUNTY COUNCIL,CORE-MAIN-014601,110833.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,KENT COUNTY COUNCIL,CORE-MAIN-014602,44333.40,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,HAMPSHIRE COUNTY COUNCIL,CORE-MAIN-014603,133000.20,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,HAMMERSMITH & FULHAM LONDON BOROUGH COUNCIL,CORE-MAIN-014604,90883.47,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,STOKE ON TRENT CITY COUNCIL,CORE-MAIN-014605,141866.88,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,BRIGHTON & HOVE CITY COUNCIL,CORE-MAIN-014606,28816.71,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,HERTFORDSHIRE COUNTY COUNCIL,CORE-MAIN-014607,44333.40,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,ISLINGTON LONDON BOROUGH COUNCIL,CORE-MAIN-014608,62066.76,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,PETERBOROUGH CITY COUNCIL,CORE-MAIN-014609,37825.73,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,LANCASHIRE COUNTY COUNCIL,CORE-MAIN-014610,33250.05,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,ESSEX COUNTY COUNCIL,CORE-MAIN-014611,86450.13,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,HERTFORDSHIRE COUNTY COUNCIL,CORE-MAIN-014612,64405.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,"Bournemouth, Christchurch and Poole Council",CORE-MAIN-014613,88040.32,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,BROMLEY LONDON BOROUGH COUNCIL,CORE-MAIN-014614,46803.53,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,ACHIEVING FOR CHILDREN,CORE-MAIN-014615,79151.00,Grants to local authorities
