Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,HAMPSHIRE COUNTY COUNCIL,1041111439,110057.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,BRIGHTON & HOVE CITY COUNCIL,1041111440,70469.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,NEWCASTLE CITY COUNCIL,1041111442,49882.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,GATESHEAD MBC,1041111444,41171.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,WAKEFIELD MDC,1041111445,38004.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF HACKNEY,1041111462,32462.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DURHAM COUNTY COUNCIL,1041111464,29295.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DORSET COUNTY COUNCIL,1041111465,26921.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DERBY CITY COUNCIL,1041111466,37213.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,NORTHAMPTONSHIRE COUNTY COUNCIL,1041111467,68093.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF GREENWICH,1041111468,63343.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,1041111469,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DUDLEY MBC,1041111470,38004.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,HERTFORDSHIRE COUNTY COUNCIL,1041111486,117975.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
