Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HAMMERSMITH & FULHAM LONDON BOROUGH COUNCIL,CORE-MAIN-010205,52455.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HAMPSHIRE COUNTY COUNCIL,CORE-MAIN-010206,171893.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HARINGEY LONDON BOROUGH COUNCIL,CORE-MAIN-010207,58105.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HARTLEPOOL BOROUGH COUNCIL,CORE-MAIN-010209,33087.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HAVERING LONDON BOROUGH COUNCIL,CORE-MAIN-010210,29859.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HEREFORDSHIRE COUNCIL,CORE-MAIN-010211,39543.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HERTFORDSHIRE COUNTY COUNCIL,CORE-MAIN-010212,138806.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HILLINGDON LONDON BOROUGH COUNCIL,CORE-MAIN-010213,49227.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HOUNSLOW LONDON BOROUGH COUNCIL,CORE-MAIN-010214,41157.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,ISLINGTON LONDON BOROUGH COUNCIL,CORE-MAIN-010216,90385.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,KENT COUNTY COUNCIL,CORE-MAIN-010217,272770.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,KINGSTON UPON HULL CITY COUNCIL,CORE-MAIN-010218,66982.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,KIRKLEES METRO COUNCIL,CORE-MAIN-010219,61333.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LAMBETH LONDON BOROUGH COUNCIL,CORE-MAIN-010221,78280.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LANCASHIRE COUNTY COUNCIL,CORE-MAIN-010222,129929.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LEEDS CITY COUNCIL,CORE-MAIN-010223,129122.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LEICESTER CITY COUNCIL,CORE-MAIN-010224,56491.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LEICESTERSHIRE COUNTY COUNCIL,CORE-MAIN-010225,34701.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LEWISHAM LONDON BOROUGH COUNCIL,CORE-MAIN-010226,101683.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LINCOLNSHIRE COUNTY COUNCIL,CORE-MAIN-010227,75052.25,Grants to local authorities
