Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CITY OF YORK COUNCIL,CL044963,"94,364.74 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CORNWALL COUNCIL,CL044888,"635,684.87 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,COVENTRY CITY COUNCIL,CL044889,"1,524,946.86 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CUMBRIA COUNTY COUNCIL,CL044890,"51,446.19 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,DEVON COUNTY COUNCIL,CL044891,"883,664.64 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,CL044892,"367,626.26 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,DUDLEY METRO BOROUGH COUNCIL,CL044893,"603,713.49 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,DURHAM COUNTY COUNCIL,CL044894,"110,233.98 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,EAST SUSSEX COUNTY COUNCIL,CL044895,"577,433.80 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,ENFIELD LONDON BOROUGH COUNCIL,CL044896,"94,885.10 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,ESSEX COUNTY COUNCIL,CL044897,"2,842,143.38 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Gloucestershire County Council,CL044899,"803,479.91 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,GREENWICH LONDON BOROUGH COUNCIL,CL044900,"481,399.55 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,HALTON BOROUGH COUNCIL,CL044901,"30,909.33 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,HARROW LONDON BOROUGH COUNCIL,CL044902,"475,805.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,HERTFORDSHIRE COUNTY COUNCIL,CL044903,"1,703,355.07 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,HOUNSLOW LONDON BOROUGH COUNCIL,CL044904,"325,944.27 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,KENT COUNTY COUNCIL,CL044905,"2,393,835.27 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,KINGSTON UPON HULL CITY COUNCIL,CL044906,"921,983.34 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LANCASHIRE COUNTY COUNCIL,CL044908,"775,433.46 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LEEDS CITY COUNCIL,CL044909,"454,502.53 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LEICESTER CITY COUNCIL,CL044910,"187,555.08 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LEICESTERSHIRE COUNTY COUNCIL,CL044911,"1,049,152.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LINCOLNSHIRE COUNTY COUNCIL,CL044912,"690,773.64 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,LIVERPOOL CITY COUNCIL,CL044913,"687,306.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,London Borough of Sutton,CL044946,"567,282.77 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,MANCHESTER CITY COUNCIL,CL044914,"513,779.44 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Middlesbrough Council,CL044915,"195,347.51 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,MILTON KEYNES COUNCIL,CL044916,"1,482,558.66 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Newcastle upon Tyne City Council,CL044917,"400,065.32 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,NEWHAM LONDON BOROUGH COUNCIL,CL044918,"1,525,581.49 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,NORFOLK COUNTY COUNCIL,CL044919,"959,641.66 ",Capital grants - Local Government,,,,,,,,,
