Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,12/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",CENTRE FOR ENTERPRISE LTD,CORE-PINV-041806,"42,913.00",Research & Evaluation
Department for Education,Core,18/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-042047,"25,000.00",Research & Evaluation
Department for Education,Core,19/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",EBSCO International Inc,CORE-PINV-039940,"25,796.00",Research & Evaluation
Department for Education,Core,23/08/2022,Other Costs,"Analysis, Data Exploitation and Science",UNIVERSITY COLLEGE LONDON,CORE-PINV-042157,"529,754.00",Research & development
Department for Education,Core,25/08/2022,Other Costs,"Analysis, Data Exploitation and Science",Kantar Public UK Limited,CORE-PINV-042226,"31,244.00",Research & development
Department for Education,Core,26/08/2022,Other Costs,"Analysis, Data Exploitation and Science",ECORYS UK LTD,CORE-PINV-042327,"29,838.00",Research & development
Department for Education,Core,30/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-042429,"72,547.00",Research & Evaluation
Department for Education,Core,23/08/2022,Staff - Other,Data,Cabinet Office,CORE-PINV-042093,"109,794.00",Recruitment Advertising
Department for Education,Core,09/08/2022,IS/IT,Data,Bramble Hub Limited,CORE-PINV-041516,"111,858.00",ICT repair & maintenance
Department for Education,Core,10/08/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-041530,"31,681.60",ICT repair & maintenance
Department for Education,Core,10/08/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-041647,"34,464.00",ICT repair & maintenance
Department for Education,Core,10/08/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-041646,"51,822.00",ICT repair & maintenance
Department for Education,Core,18/08/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-041531,"88,794.00",ICT repair & maintenance
Department for Education,Core,18/08/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-041541,"27,272.00",ICT repair & maintenance
Department for Education,Core,18/08/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-041645,"30,390.00",ICT repair & maintenance
Department for Education,Core,26/08/2022,IS/IT,Data,Bramble Hub Limited,CORE-PINV-042317,"114,067.85",ICT repair & maintenance
Department for Education,Core,05/08/2022,IS/IT,Data,HIVE IT LIMITED,CORE-PINV-041285,"62,544.00",Systems Operations
Department for Education,Core,08/08/2022,IS/IT,Data,RM EDUCATION PLC,CORE-PINV-041469,"463,164.00",Systems Operations
Department for Education,Core,25/08/2022,IS/IT,Data,Opencast Software Europe ltd,CORE-PINV-042272,"220,770.00",Systems Operations
Department for Education,Core,01/08/2022,IS/IT,Capital Directorate,Commerce Decisions Ltd,CORE-PINV-040991,"45,000.00",Software licences
Department for Education,Capital,08/08/2022,Grants Expenditure,Capital Directorate,Portakabin Ltd,D-PINV047737,"166,226.58",Current grants - Academy Trust
Department for Education,Capital,12/08/2022,Other Costs,Capital Directorate,Faithful & Gould,D-PINV047835,"93,202.80",Research & development
Department for Education,Capital,12/08/2022,Grants Expenditure,Capital Directorate,Sefton Metropolitan Borough Council,DU00067329,"29,687.00",Capital grants - Local Government
Department for Education,Capital,12/08/2022,Grants Expenditure,Capital Directorate,PLYMOUTH CITY COUNCIL,DU00067331,"41,562.44",Capital grants - Local Government
Department for Education,Capital,10/08/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV047807,"68,652.00",Professional Services
Department for Education,Capital,10/08/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV047809,"47,310.00",Professional Services
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,CL055509,"793,783.87",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BATH & NORTH EAST SOMERSET COUNCIL,CL055510,"110,337.68",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BEDFORD BOROUGH COUNCIL,CL055511,"864,381.63",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BIRMINGHAM CITY COUNCIL,CL055512,"2,762,751.01",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,Blackburn with Darwen Borough Council,CL055513,"132,321.48",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BRADFORD CITY COUNCIL,CL055514,"38,189.25",Capital grants - Local Government
