Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Learn Academies Trust,CUPS0041396,"55,545.71",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Learn Academies Trust,CUPS0041397,"42,619.54",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Lighthouse Schools Partnership,CUPS0041486,"33,262.58",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0040204,"29,557.16",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0040213,"30,365.33",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0040224,"31,270.12",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0040233,"27,918.27",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0040279,"29,011.92",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0041400,"30,310.07",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0041532,"31,110.07",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,NORTH EAST LEARNING TRUST,CUPS0041481,"84,656.89",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,NORWICH DIOCESAN BOARD OF FINANCE LIMITE,CUPS0040298,"28,852.45",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040719,"41,503.53",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040747,"32,340.36",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040759,"32,196.83",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040794,"30,046.03",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040795,"31,856.87",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040803,"42,358.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0040867,"59,702.78",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0041405,"47,384.23",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0041411,"29,202.30",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0041459,"37,169.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0041498,"50,387.20",Capital grants - Local Government,,,,,,,,,
