Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,370917,11550,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,R & D Economic Consultancy And Research,"Trade, Europe And Analysis - Analysis Directorate",Office For National Statistics,371201,25153.81,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,NP10 8XG,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",People Source Consulting Ltd,371212,9000,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BS1 6BA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,R & D Economic Consultancy And Research,"Trade, Europe And Analysis - Analysis Directorate",Office For National Statistics,371975,207568.14,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,NP10 8XG,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Code It Recruitment Ltd,372541,12600,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2R 5BJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Alexander Mann Solutions Ltd,372728,6300.6,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Timberlake Consultants Ltd,372855,2316,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,TW9 3GA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Research And Development Expenditure,"Trade, Europe And Analysis - Analysis Directorate",Office For National Statistics,373241,16159,Construction: Statistics And Other Sponsorship Activities-research And Development Expenditure,NP10 8XG,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",371808,26,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372662,26,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",373051,50.43,Mf Devolved Admin-stationery,,,,,,,,,,,,,,,,,,,,
