Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,372644,7295.47,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,372645,33959.71,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,372647,9338.82,Mf Devolved Admin-accommodation & Building Management,EC4M 7HP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,372649,26227.75,Mf Devolved Admin-accommodation & Building Management,EC4M 7HP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,372650,228.99,Mf Devolved Admin-accommodation & Building Management,EC4M 7HP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373217,85647.8,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373218,46693,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373219,7527.75,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373220,37970.75,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373221,28156.25,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Courier Services,Corporate Services - Commercial & Operations,Swiss Post Solutions Ltd,373364,1470,Mf Devolved Admin-courier Services,TW10 6TP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373379,3146.11,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373380,890.41,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373380,4414.99,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373382,6158.26,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373383,5355.34,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Accommodation & Building Management,Corporate Services - Commercial & Operations,Government Property Agency,373386,20119.06,Mf Devolved Admin-accommodation & Building Management,B2 5LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Reprographic Services,Corporate Services - Commercial & Operations,Allied Publicity Services (Manchester) Ltd T/A Aps Group,370345,396.45,Mf Devolved Admin-reprographic Services,SK3 0ZP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Reprographic Services,Corporate Services - Commercial & Operations,Allied Publicity Services (Manchester) Ltd T/A Aps Group,370345,1118.55,Mf Devolved Admin-reprographic Services,SK3 0ZP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Reprographic Services,Corporate Services - Commercial & Operations,Allied Publicity Services (Manchester) Ltd T/A Aps Group,372865,-847.73,Mf Devolved Admin-reprographic Services,SK3 0ZP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Reprographic Services,Corporate Services - Commercial & Operations,Allied Publicity Services (Manchester) Ltd T/A Aps Group,372865,561.52,Mf Devolved Admin-reprographic Services,SK3 0ZP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Reprographic Services,Corporate Services - Commercial & Operations,Allied Publicity Services (Manchester) Ltd T/A Aps Group,372865,1133.94,Mf Devolved Admin-reprographic Services,SK3 0ZP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Computer Consumables,Corporate Services - Commercial & Operations,Government Communications Bureau,369642,3000,Mf Devolved Admin-computer Consumables,GL51 0EX,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Guarding And Security Services,Corporate Services - Commercial & Operations,Swiss Post Solutions Ltd,369735,7278.49,Mf Devolved Admin-guarding And Security Services,TW10 6TP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Guarding And Security Services,Corporate Services - Commercial & Operations,Internet Research & Training Services,370747,360,Mf Devolved Admin-guarding And Security Services,S10 4EF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Stationery,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",371526,158,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Central Telecommunications Services,Corporate Services - Commercial & Operations,Government Communications Bureau,371926,18369.18,IT Services,GL51 0EX,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Professional Subscriptions,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",372524,170,Mf Devolved Admin-professional Subscriptions,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Guarding And Security Services,Corporate Services - Commercial & Operations,Chubb Fire & Security Ltd T/A Chubb Electronic Security,372548,912,Mf Devolved Admin-guarding And Security Services,BB1 2QS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Stationery,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",372693,31.6,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Guarding And Security Services,Corporate Services - Commercial & Operations,Swiss Post Solutions Ltd,373364,7278.49,Mf Devolved Admin-guarding And Security Services,TW10 6TP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Guarding And Security Services,Corporate Services - Commercial & Operations,Internet Research & Training Services,373485,360,Mf Devolved Admin-guarding And Security Services,S10 4EF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Bechtle Direct Ltd,363005,920.58,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,SN14 0GF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Bechtle Direct Ltd,364412,204072,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,SN14 0GF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,365212,-4000,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,365212,-0.01,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,365212,0.02,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,365212,8800,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,366578,205713.6,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,366581,248142,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,366791,148885.21,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,366947,4800,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,367108,99256.8,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,367395,-5200,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Clearing Account   - Cost - Computer Equipment,"Corporate Services - Digital, Data & Technology",Insight Direct Uk Limited,367395,12130,Digital Infrastructure And Maintenanc-clearing Account   - Cost - Computer Equipment,UB8 1PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",British Telecommunications Plc (Bt),369591,22.36,Mf Devolved Admin-central Telecommunications Services,DH98 1BT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Emea Sarl,370151,-0.62,Mf Devolved Admin-it Hosting Services,L-2338,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,370254,239662.36,Mf Devolved Admin-central Telecommunications Services,RG14 9LE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Inform Ltd T/A The Inform Team,370273,13464,Mf Devolved Admin-application Support Service,SE11 5SW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",370382,119.99,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Outsourced Technical Support,"Corporate Services - Digital, Data & Technology",Sight And Sound Technology Ltd,370434,395,Mf Devolved Admin-outsourced Technical Support,NN3 6WD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Ict Infrastructure Specific Service,"Corporate Services - Digital, Data & Technology",Cabinet Office,370572,191.24,Mf Devolved Admin-ict Infrastructure Specific Service,FY1 9JN,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",British Telecommunications Plc (Bt),370596,406.52,Mf Devolved Admin-central Telecommunications Services,DH98 1BT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,It Infrastructure Support,"Corporate Services - Digital, Data & Technology",Fcdo Services,370608,5842.13,Mf Devolved Admin-it Infrastructure Support,MK19 7BH,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370668,5687.5,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370670,6760,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370671,4680,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Emea Sarl,370672,-0.57,Mf Devolved Admin-it Hosting Services,L-2338,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Emea Sarl,370673,-0.62,Mf Devolved Admin-it Hosting Services,L-2338,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Emea Sarl,370674,-0.04,Mf Devolved Admin-it Hosting Services,L-2338,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370698,7020,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370700,5670,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370701,5824.29,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370702,5670,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Fdm Group Ltd,370705,6159.38,Mf Devolved Admin-it Services,SE1 2QG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,370720,1038.8,Mf Devolved Admin-central Telecommunications Services,RG14 9LE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,370721,765.22,Mf Devolved Admin-central Telecommunications Services,RG14 9LE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,370959,789.3,Mf Devolved Admin-central Telecommunications Services,RG14 2FN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Inform Ltd T/A The Inform Team,370962,12852,Mf Devolved Admin-application Support Service,SE11 5SW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Other It Consultancy,"Corporate Services - Digital, Data & Technology",Tidey Electrical Ltd,371210,1640.56,Mf Devolved Admin-other It Consultancy,SG1 4QR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Standard Desktop Plus Services,"Corporate Services - Digital, Data & Technology",Visionist Ltd,371306,270826,Mf Devolved Admin-standard Desktop Plus Services,BH24 3FG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Outsourced Technical Support,"Corporate Services - Digital, Data & Technology",Visionist Ltd,371308,306792,Mf Devolved Admin-outsourced Technical Support,BH24 3FG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Visionist Ltd,371309,101325,Mf Devolved Admin-central Telecommunications Services,BH24 3FG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,371398,2013.83,Mf Devolved Admin-central Telecommunications Services,RG14 2FN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Vodafone Ltd,371400,907.62,Mf Devolved Admin-central Telecommunications Services,RG14 2FN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",371696,199.2,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,It Infrastructure Support,"Corporate Services - Digital, Data & Technology",Fcdo Services,371727,5842.13,Mf Devolved Admin-it Infrastructure Support,MK19 7BH,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Cgi It Uk Ltd,371864,25497.26,Mf Devolved Admin-application Support Service,EC3M 3BY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,It Services,"Corporate Services - Digital, Data & Technology",Visionist Ltd,372049,107398.27,Mf Devolved Admin-it Services,BH24 3FG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Central Telecommunications Services,"Corporate Services - Digital, Data & Technology",Daisy Communications Ltd,372239,1349.44,Mf Devolved Admin-central Telecommunications Services,BB9 5SR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Cgi It Uk Ltd,372273,13157,Mf Devolved Admin-application Support Service,EC3M 3BY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Application Support Service,"Corporate Services - Digital, Data & Technology",Cgi It Uk Ltd,372279,1266.36,Mf Devolved Admin-application Support Service,EC3M 3BY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Inc,372461,1870.59,Mf Devolved Admin-it Hosting Services,98109-5210,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,It Hosting Services,"Corporate Services - Digital, Data & Technology",Amazon Web Services Emea Sarl,372462,45383.02,Mf Devolved Admin-it Hosting Services,L-2338,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",372522,214.24,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Ict Infrastructure Specific Service,"Corporate Services - Digital, Data & Technology",Redcentric Solutions Ltd,373069,18325.8,Mf Devolved Admin-ict Infrastructure Specific Service,HG3 1UG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Ict Infrastructure Specific Service,"Corporate Services - Digital, Data & Technology",Redcentric Solutions Ltd,373070,207902.28,Mf Devolved Admin-ict Infrastructure Specific Service,HG3 1UG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Ict Infrastructure Specific Service,"Corporate Services - Digital, Data & Technology",Redcentric Solutions Ltd,373385,5708.28,Mf Devolved Admin-ict Infrastructure Specific Service,HG3 1UG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Outsourced Technical Support,"Corporate Services - Digital, Data & Technology",Curran It And Electrical Services Ltd,373389,312,Mf Devolved Admin-outsourced Technical Support,RM18 8RH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,364132,-4151.35,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,364132,8031.85,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,364133,-3233.75,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Hire Of Interim Managers,"Corporate Services - Digital, Data & Technology",Hays Specialist Recruitment Ltd,364133,7114.25,Mf Devolved Admin-hire Of Interim Managers,KT3 4JQ,VENDOR,,,,,,,,,,,,,,,,,,
