Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Consultancy Expenditure,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354851,6073.64,Assurance Reviews And PPM Capability-Consultancy Expenditure,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354855,2835.24,UK role in EU ETS-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354856,4465.50,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Current Grants To Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,354858,-3172.08,Collaboration: Unallocated-Current Grants To Private Sector - NPISH,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Current Grants To Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,354858,6344.16,Collaboration: Unallocated-Current Grants To Private Sector - NPISH,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354859,3849.54,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Consultancy Expenditure,Corporate Services - Communications,Alexander Mann Solutions Ltd,354860,689.83,EU Exit: CPG ADM-Consultancy Expenditure,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354862,847.14,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354863,4280.70,Finance Infrastructure and Maintenance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354864,2032.57,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Interim Managers,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354866,3387.66,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13 July 2020,R & D Hire of Agency Staff,Energy Transformation and Clean Growth - Science and Innovation,Alexander Mann Solutions Ltd,354870,1847.76,Innovation Delivery Cross Cutting-R & D Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354871,9279.24,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354872,5543.42,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354874,5567.54,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354877,3479.71,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354879,6124.32,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354880,4175.66,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354881,4389.13,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354882,1422.82,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354884,4948.92,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354885,2956.39,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Interim Managers,Central - BEIS Other,Alexander Mann Solutions Ltd,354886,-1538.36,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Interim Managers,Central - BEIS Other,Alexander Mann Solutions Ltd,354886,4002.02,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354888,2371.37,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354889,6775.32,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Other Professional Services,Energy and Security - Nuclear Directorate - SS,Alexander Mann Solutions Ltd,354891,266.00,MF Devolved Admin-Other Professional Services,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Organisation Change Management Consultancy,"Industrial Strategy, Science and Innovation - Government Office for Science",Alexander Mann Solutions Ltd,354892,-2162.64,MF Devolved Admin-Organisation Change Management Consultancy,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Organisation Change Management Consultancy,"Industrial Strategy, Science and Innovation - Government Office for Science",Alexander Mann Solutions Ltd,354892,23425.28,MF Devolved Admin-Organisation Change Management Consultancy,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354893,3622.86,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,354894,3941.94,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Other Professional Services,Energy and Security - Nuclear Directorate - SS,Alexander Mann Solutions Ltd,355707,-266.00,MF Devolved Admin-Other Professional Services,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,355708,2835.24,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Hire of Agency Staff,Market Frameworks - Office for Product Safety and Standards,Alexander Mann Solutions Ltd,355709,2155.80,OPSS: National Capacity Organisational Cross Cutting-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Technical Advice / Services & Support,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,355710,4989.46,Assurance Reviews And PPM Capability-Technical Advice / Services & Support,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,ICT Outsourcing & Maintenance/Support,"Trade, Europe and Analysis - Analysis Directorate",Alexander Mann Solutions Ltd,355711,5040.48,MF Devolved Admin-ICT Outsourcing & Maintenance/Support,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,R & D Contractors,Energy Transformation and Clean Growth - Science and Innovation,Alexander Mann Solutions Ltd,355713,7922.42,Climate Change Science-R & D Contractors,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,355714,3780.36,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,355715,2362.74,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,355716,2205.18,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,355717,3387.66,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Technical Advice / Services & Support,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,355718,7701.41,Assurance Reviews And PPM Capability-Technical Advice / Services & Support,EC2N 3AQ,VENDOR
