Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/06/2021,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Informa Markets (Uk) Ltd,397980,4874.23,Hnip Delivery Programme Expenditure-outsourced Programme Management,SW1P 1WG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/06/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Risksol Consulting Ltd T/A Risk Solutions,398013,19500,Hnip Delivery Programme Expenditure-research And Development Expenditure,WA2 7LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",25/06/2021,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,South Tyneside Council,398197,33500,Hndu Pipeline And Related Expenditure-current Grants To Local Government,NE33 2RL,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Plymouth City Council,398219,46900,Hndu Pipeline And Related Expenditure-current Grants To Local Government,PL6 5UF,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/06/2021,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Wirral Borough Council,398652,170600,Hndu Pipeline And Related Expenditure-current Grants To Local Government,CH44 8ED,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/06/2021,Stationery,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",395670,200,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/06/2021,Recruitment Advice And Services,"Trade, International, The Union & Analysis - Analysis Directorate",Office For National Statistics,397312,4000,Mf Devolved Admin-recruitment Advice And Services,NP10 8XG,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/06/2021,Stationery,"Trade, International, The Union & Analysis - Analysis Directorate","Personal Expense, Name Withheld",397338,50,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Trade, International, The Union & Analysis - Analysis Directorate","Personal Expense, Name Withheld",397573,23.08,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Code It Recruitment Ltd,395448,11500,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2R 5BJ,VENDOR
