Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,10/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,623899,IT+Comms Internal Costs,£40.37
Ministry of Defence,Ministry of Defence,19/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007802,Transport+Movement Personnel,£40.08
Ministry of Defence,Ministry of Defence,20/05/2022,Telecomms + IT non capital,Strategic Command,BANNER GROUP LIMITED,S9 1XU,626279,IT+Comms Internal Costs,£37.39
Ministry of Defence,Ministry of Defence,06/05/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019922,SUME AUC Capital Additions,£36.75
Ministry of Defence,Ministry of Defence,10/05/2022,P+M General Services,Defence Nuclear Organisation,AKHTER COMPUTERS LIMITED,CM18 7PN,623899,P+M General Services,£36.55
Ministry of Defence,Ministry of Defence,03/05/2022,Telecomms + IT non capital,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,622424,IT+Comms Internal Costs,£36.00
Ministry of Defence,Ministry of Defence,10/05/2022,Other Materiel Consumed,DES Bespoke Trading Entity,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,623887,Other Materiel Consumed,£36.00
Ministry of Defence,Ministry of Defence,06/05/2022,Telecomms + IT non capital,Strategic Command,INSIGHT DIRECT (U K) LTD,S9 2BU,623360,IT+Comms Internal Costs,£35.97
Ministry of Defence,Ministry of Defence,25/05/2022,Buildings Maintenance,Navy Command,BANNER GROUP LIMITED,S9 1XU,626976,Buildings Maintenance,£34.93
Ministry of Defence,Ministry of Defence,18/05/2022,Estate+Facilities Mgmnt Servs,Defence Nuclear Organisation,CORPORATE DOCUMENT SERVICES  LIMITED,LS11 5AS,625781,Estate+Facilities Mgmnt Servs,£34.80
Ministry of Defence,Ministry of Defence,16/05/2022,Defence Equip General Services,Air Command,XMA LTD,NG11 7EP,625150,Defence Equip General Services,£34.80
